lele           	login          	Mon Jun 10 04:25:01 2019

lele           	login          	Wed Jun 12 07:42:47 2019

lele           	ls             	Wed Jun 12 07:42:48 2019

lele           	pwd            	Wed Jun 12 07:42:50 2019

lele           	gets lele.log  	Wed Jun 12 07:42:55 2019

lele           	login          	Thu Jun 13 07:10:32 2019

lele           	ls             	Thu Jun 13 07:10:33 2019

lele           	puts file      	Thu Jun 13 07:10:40 2019

lele           	login          	Thu Jun 13 07:13:44 2019

lele           	ls             	Thu Jun 13 07:13:46 2019

lele           	gets file      	Thu Jun 13 07:13:58 2019

lele           	ls             	Thu Jun 13 07:14:29 2019

lele           	gets file      	Thu Jun 13 07:14:32 2019

lele           	login          	Thu Jun 13 07:16:39 2019

lele           	ls             	Thu Jun 13 07:16:39 2019

lele           	gets file      	Thu Jun 13 07:17:32 2019

lele           	login          	Thu Jun 13 07:19:03 2019

lele           	login          	Thu Jun 13 07:20:22 2019

lele           	ls             	Thu Jun 13 07:20:24 2019

lele           	gets file      	Thu Jun 13 07:20:27 2019

lele           	gets file      	Thu Jun 13 07:22:09 2019

lele           	ls             	Thu Jun 13 07:22:19 2019

lele           	pwd            	Thu Jun 13 07:22:20 2019

lele           	gets file      	Thu Jun 13 07:22:23 2019

lele           	gets file      	Thu Jun 13 07:22:57 2019

lele           	gets file      	Thu Jun 13 07:24:47 2019

lele           	login          	Thu Jun 13 07:37:42 2019

lele           	gets file      	Thu Jun 13 07:37:45 2019

lele           	login          	Thu Jun 13 07:38:58 2019

lele           	ls             	Thu Jun 13 07:39:01 2019

lele           	gets file      	Thu Jun 13 07:39:04 2019

lele           	login          	Thu Jun 13 07:39:12 2019

lele           	gets file      	Thu Jun 13 07:39:25 2019

lele           	gets file      	Thu Jun 13 07:40:01 2019

lele           	gets file      	Thu Jun 13 07:40:35 2019

lele           	login          	Thu Jun 13 07:43:42 2019

lele           	gets file      	Thu Jun 13 07:43:45 2019

lele           	gets file      	Thu Jun 13 07:44:10 2019

lele           	gets file      	Thu Jun 13 07:44:32 2019

lele           	gets file      	Thu Jun 13 07:44:47 2019

lele           	login          	Thu Jun 13 07:45:54 2019

lele           	gets file      	Thu Jun 13 07:45:58 2019

lele           	login          	Thu Jun 13 07:46:16 2019

lele           	gets file      	Thu Jun 13 07:46:19 2019

lele           	login          	Thu Jun 13 07:46:48 2019

lele           	gets file      	Thu Jun 13 07:47:02 2019

lele           	gets file      	Thu Jun 13 07:47:16 2019

lele           	gets file      	Thu Jun 13 07:47:30 2019

lele           	login          	Thu Jun 13 07:53:12 2019

lele           	gets file      	Thu Jun 13 07:53:22 2019

lele           	gets file      	Thu Jun 13 07:53:33 2019

lele           	gets file      	Thu Jun 13 07:53:51 2019

lele           	login          	Thu Jun 13 08:02:40 2019

lele           	gets file      	Thu Jun 13 08:02:48 2019

lele           	gets file      	Thu Jun 13 08:03:01 2019

lele           	gets file      	Thu Jun 13 08:03:15 2019

lele           	gets file      	Thu Jun 13 08:03:48 2019

lele           	gets file      	Thu Jun 13 08:04:11 2019

lele           	login          	Thu Jun 13 08:08:45 2019

lele           	gets file      	Thu Jun 13 08:08:55 2019

lele           	gets file      	Thu Jun 13 08:09:59 2019

lele           	gets file      	Thu Jun 13 08:10:22 2019

lele           	login          	Thu Jun 13 08:13:34 2019

lele           	gets file      	Thu Jun 13 08:13:36 2019

lele           	gets file      	Thu Jun 13 08:13:41 2019

lele           	gets file      	Thu Jun 13 08:13:47 2019

lele           	login          	Thu Jun 13 08:14:33 2019

lele           	gets file      	Thu Jun 13 08:14:39 2019

lele           	gets file      	Thu Jun 13 08:14:49 2019

lele           	login          	Thu Jun 13 08:16:33 2019

lele           	gets file      	Thu Jun 13 08:16:41 2019

lele           	gets file      	Thu Jun 13 08:17:12 2019

lele           	gets file      	Thu Jun 13 08:17:25 2019

lele           	login          	Thu Jun 13 08:40:49 2019

lele           	ls             	Thu Jun 13 08:40:50 2019

lele           	pwd            	Thu Jun 13 08:40:51 2019

lele           	remove file    	Thu Jun 13 08:41:40 2019

