xiaojizhi      	login          	Mon Jun 10 21:06:51 2019

xiaojizhi      	ls             	Mon Jun 10 21:06:52 2019

xiaojizhi      	pwd            	Mon Jun 10 21:06:54 2019

xiaojizhi      	cd ..          	Mon Jun 10 21:06:55 2019

xiaojizhi      	cd Diskofxiaojizhi	Mon Jun 10 21:07:12 2019

xiaojizhi      	ls             	Mon Jun 10 21:07:13 2019

xiaojizhi      	puts file      	Mon Jun 10 21:07:21 2019

xiaojizhi      	login          	Mon Jun 10 21:07:54 2019

xiaojizhi      	ls             	Mon Jun 10 21:08:56 2019

xiaojizhi      	pwd            	Mon Jun 10 21:09:03 2019

xiaojizhi      	login          	Tue Jun 11 20:35:30 2019

xiaojizhi      	ls             	Tue Jun 11 20:36:16 2019

xiaojizhi      	pwd            	Tue Jun 11 20:36:17 2019

xiaojizhi      	login          	Tue Jun 11 20:47:03 2019

xiaojizhi      	login          	Wed Jun 12 06:30:36 2019

xiaojizhi      	login          	Wed Jun 12 06:34:35 2019

xiaojizhi      	login          	Wed Jun 12 06:38:10 2019

xiaojizhi      	login          	Wed Jun 12 06:38:52 2019

xiaojizhi      	login          	Wed Jun 12 06:39:20 2019

xiaojizhi      	login          	Wed Jun 12 06:43:04 2019

xiaojizhi      	login          	Wed Jun 12 06:49:38 2019

xiaojizhi      	login          	Wed Jun 12 07:30:54 2019

xiaojizhi      	ls             	Wed Jun 12 07:30:58 2019

xiaojizhi      	login          	Wed Jun 12 07:32:53 2019

xiaojizhi      	login          	Wed Jun 12 07:36:39 2019

xiaojizhi      	login          	Wed Jun 12 07:39:51 2019

xiaojizhi      	login          	Wed Jun 12 07:41:00 2019

xiaojizhi      	ls             	Wed Jun 12 07:41:05 2019

xiaojizhi      	pwd            	Wed Jun 12 07:41:06 2019

xiaojizhi      	cd ..          	Wed Jun 12 07:41:09 2019

xiaojizhi      	ls             	Wed Jun 12 07:41:10 2019

xiaojizhi      	pwd            	Wed Jun 12 07:41:11 2019

xiaojizhi      	cd Diskofxiaojizhi	Wed Jun 12 07:41:23 2019

xiaojizhi      	ls             	Wed Jun 12 07:41:24 2019

xiaojizhi      	pwd            	Wed Jun 12 07:41:25 2019

xiaojizhi      	gets 123.txtiaojizhi	Wed Jun 12 07:41:38 2019

xiaojizhi      	login          	Wed Jun 12 07:58:45 2019

xiaojizhi      	ls             	Wed Jun 12 07:58:51 2019

xiaojizhi      	pwd            	Wed Jun 12 07:58:52 2019

xiaojizhi      	gets 123.txt   	Wed Jun 12 07:59:07 2019

xiaojizhi      	login          	Wed Jun 12 08:00:06 2019

xiaojizhi      	gets 123.txt   	Wed Jun 12 08:00:25 2019

xiaojizhi      	login          	Wed Jun 12 08:03:15 2019

xiaojizhi      	gets 123.txt   	Wed Jun 12 08:03:20 2019

xiaojizhi      	gets 123.txt   	Wed Jun 12 08:03:38 2019

xiaojizhi      	login          	Wed Jun 12 08:07:07 2019

xiaojizhi      	ls             	Wed Jun 12 08:07:08 2019

xiaojizhi      	pwd            	Wed Jun 12 08:07:10 2019

xiaojizhi      	gets file      	Wed Jun 12 08:07:14 2019

xiaojizhi      	login          	Wed Jun 12 08:07:32 2019

xiaojizhi      	gets file      	Wed Jun 12 08:07:37 2019

xiaojizhi      	remove file    	Wed Jun 12 08:08:11 2019

xiaojizhi      	puts file      	Wed Jun 12 08:08:15 2019

xiaojizhi      	login          	Thu Jun 13 05:57:36 2019

xiaojizhi      	ls             	Thu Jun 13 05:57:41 2019

xiaojizhi      	puts           	Thu Jun 13 05:57:48 2019

xiaojizhi      	login          	Thu Jun 13 05:59:58 2019

xiaojizhi      	puts           	Thu Jun 13 06:00:02 2019

xiaojizhi      	login          	Thu Jun 13 06:08:31 2019

xiaojizhi      	puts           	Thu Jun 13 06:08:39 2019

xiaojizhi      	login          	Thu Jun 13 06:11:19 2019

xiaojizhi      	puts           	Thu Jun 13 06:11:25 2019

xiaojizhi      	login          	Thu Jun 13 06:12:50 2019

xiaojizhi      	puts 2a2caf52cb298f177a57a3211213e141	Thu Jun 13 06:12:53 2019

xiaojizhi      	login          	Thu Jun 13 06:15:18 2019

xiaojizhi      	puts 2a2caf52cb298f177a57a3211213e141	Thu Jun 13 06:15:22 2019

xiaojizhi      	login          	Thu Jun 13 06:17:08 2019

xiaojizhi      	puts md5.c     	Thu Jun 13 06:17:11 2019

xiaojizhi      	login          	Thu Jun 13 06:19:53 2019

xiaojizhi      	puts md5.c     	Thu Jun 13 06:19:56 2019

xiaojizhi      	login          	Thu Jun 13 06:22:13 2019

xiaojizhi      	puts md5.c     	Thu Jun 13 06:22:16 2019

xiaojizhi      	login          	Thu Jun 13 06:24:30 2019

xiaojizhi      	puts md5.c     	Thu Jun 13 06:24:34 2019

xiaojizhi      	login          	Thu Jun 13 06:26:26 2019

xiaojizhi      	puts md5.c     	Thu Jun 13 06:26:29 2019

xiaojizhi      	login          	Thu Jun 13 06:28:18 2019

xiaojizhi      	puts md5.c     	Thu Jun 13 06:28:23 2019

xiaojizhi      	login          	Thu Jun 13 06:31:24 2019

xiaojizhi      	puts md5.c     	Thu Jun 13 06:31:27 2019

xiaojizhi      	login          	Thu Jun 13 06:33:10 2019

xiaojizhi      	puts md5.c     	Thu Jun 13 06:33:13 2019

xiaojizhi      	login          	Thu Jun 13 06:34:04 2019

xiaojizhi      	puts md5.c     	Thu Jun 13 06:34:08 2019

xiaojizhi      	login          	Thu Jun 13 06:35:58 2019

xiaojizhi      	puts md5.c     	Thu Jun 13 06:36:04 2019

xiaojizhi      	login          	Thu Jun 13 06:38:09 2019

xiaojizhi      	puts md5.c     	Thu Jun 13 06:38:14 2019

xiaojizhi      	login          	Thu Jun 13 06:40:07 2019

xiaojizhi      	puts md5.c     	Thu Jun 13 06:40:10 2019

xiaojizhi      	ls             	Thu Jun 13 06:40:32 2019

xiaojizhi      	pwd            	Thu Jun 13 06:42:00 2019

xiaojizhi      	cd ..5.c       	Thu Jun 13 06:42:02 2019

xiaojizhi      	ls             	Thu Jun 13 06:42:04 2019

xiaojizhi      	login          	Thu Jun 13 06:43:46 2019

xiaojizhi      	cd ..          	Thu Jun 13 06:43:47 2019

xiaojizhi      	ls             	Thu Jun 13 06:43:53 2019

xiaojizhi      	cd ..          	Thu Jun 13 06:43:58 2019

xiaojizhi      	ls             	Thu Jun 13 06:43:59 2019

xiaojizhi      	cd src         	Thu Jun 13 06:44:06 2019

xiaojizhi      	ls             	Thu Jun 13 06:44:07 2019

xiaojizhi      	ls             	Thu Jun 13 06:44:19 2019

xiaojizhi      	cd Diskofxiaojizhi	Thu Jun 13 06:44:28 2019

xiaojizhi      	ls             	Thu Jun 13 06:44:29 2019

xiaojizhi      	cd ..skofxiaojizhi	Thu Jun 13 06:44:32 2019

xiaojizhi      	ls             	Thu Jun 13 06:44:40 2019

xiaojizhi      	login          	Thu Jun 13 06:48:48 2019

xiaojizhi      	puts md5.o     	Thu Jun 13 06:49:11 2019

xiaojizhi      	ls             	Thu Jun 13 06:50:21 2019

xiaojizhi      	pwd            	Thu Jun 13 06:50:22 2019

xiaojizhi      	cd ..5.o       	Thu Jun 13 06:50:24 2019

xiaojizhi      	ls             	Thu Jun 13 06:50:26 2019

xiaojizhi      	login          	Thu Jun 13 06:51:33 2019

xiaojizhi      	ls             	Thu Jun 13 06:52:01 2019

xiaojizhi      	pwd            	Thu Jun 13 06:52:03 2019

xiaojizhi      	puts client.c  	Thu Jun 13 06:52:14 2019

xiaojizhi      	ls             	Thu Jun 13 06:52:29 2019

xiaojizhi      	cd ..ient.c    	Thu Jun 13 06:52:31 2019

xiaojizhi      	ls             	Thu Jun 13 06:52:32 2019

xiaojizhi      	login          	Thu Jun 13 06:56:04 2019

xiaojizhi      	ls             	Thu Jun 13 06:56:06 2019

xiaojizhi      	pwd            	Thu Jun 13 06:56:06 2019

xiaojizhi      	puts file      	Thu Jun 13 06:56:13 2019

xiaojizhi      	puts md5.c     	Thu Jun 13 06:56:36 2019

xiaojizhi      	ls             	Thu Jun 13 06:56:53 2019

xiaojizhi      	pwd            	Thu Jun 13 06:56:54 2019

xiaojizhi      	cd ..5.c       	Thu Jun 13 06:56:56 2019

xiaojizhi      	ls             	Thu Jun 13 06:56:57 2019

xiaojizhi      	login          	Thu Jun 13 06:58:47 2019

xiaojizhi      	ls             	Thu Jun 13 06:58:48 2019

xiaojizhi      	pwd            	Thu Jun 13 06:58:50 2019

xiaojizhi      	cd ..          	Thu Jun 13 06:58:52 2019

xiaojizhi      	ls             	Thu Jun 13 06:58:54 2019

xiaojizhi      	cd Diskofxiaojizhi	Thu Jun 13 06:59:03 2019

xiaojizhi      	ls             	Thu Jun 13 06:59:04 2019

xiaojizhi      	puts md5.c     	Thu Jun 13 06:59:19 2019

xiaojizhi      	ls             	Thu Jun 13 06:59:38 2019

xiaojizhi      	cd ..          	Thu Jun 13 06:59:40 2019

